,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment11,comment12,comment13,comment14,comment15,comment16,comment17,comment18,comment19,comment20,comment21,comment22,comment23,comment24,comment25,comment26,comment27,comment28,comment29,comment30,comment31,comment32,comment33,comment34,comment35,comment36,comment37,comment38,comment39,comment40,comment41,comment42,comment43,comment44,comment45,comment46,comment47,comment48,comment49,comment50,comment51,comment52,comment53,comment54,comment55,comment56,comment57
71,,I find this statement more motivating than the last as it's a bit more detailed.,,It could concentrate more on the health of individuals rather than fish etc.,Mentions no health benefits,,,,,Not as appealing as some of the other messages as it doesn't provide any encouragement in terms of health benefits,,,,Shows a very serious problem,,,Gives you encouragement and motivation to quit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,I don't live in Bristol so it's irrelevant ,Nothing,,Nothing,,I didn't know this ,,That is serious and I didn't know this ,,,It makes it seems as though its never too late to stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,It is very bad that that happens to animals,Cigarettes shouldn't be dropped. ,,"I wouldn't drop it anyway, so it wouldn't encourage me to give up",This is also true of lots of things,,,I wasn't aware of this,,,I make sure I dispose of them properly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,"This is not nice to read, I am not only dmamahjng myself but the environment as well",,This specific information doesnâ€™t motivate me to quit because I donâ€™t tend to drop mine on the floor. I generally use the ashtray on top of bins ,,I imagine it would take many more man hours to clean the waste from the streets than smokers actually realise. ,,"I know that smoking is unhealthy, but when you see messages/facts about chemicals and I think about what I am doing to body it makes me want to quit. This is happening all of time now. ",,,This message does make me want to quit ,,,This scares me ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,This makes me consider the harm cigarettes cause to me,,I have done this and did not realise the impact on the environment.,,"I have not heard of a ashtray that fits in the pocket. I would not use these, I would rather use a bin.","I would not drop my cigarette butts on the floor anyway, regardless of the fine.",,,,,,The message reminds me of the impact smoking has on the environment. ,This makes me think of the harm cigarettes cause to me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,I didn't think cigarettes contain plastic,,Im guessing as it's difficult to know if this is factually correct,,,I was not aware of this.  It seems a bit strange if it's true,,,,This seems beleivable ,,There are lots of chemicals in cigarettes.  No doubt some are harmful to nature,,It seems beleivable considering the amount of chemicals in cigarettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Are they really? ,,,Again selfishly I have only ever thought about the damage it caused myself through smoking not of others. I can say it has been on my mind to quit as of late and this is helping to seal the fate on that decision.,I did know this and have recently been reaching instead of using filters as much.,,,,,,,Again this is a fact that iv never sat and pondered. Wide scale advertising of facts like these to allow people to be more aware.,True but smokers can not be the only to blame why is it legal to still be allowed to produce plastic substances. I roll my own cigarettes so can do that without using any plastic. Smoking is possible without plastic pollution ,This is not something that I had ever thought about previously ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,its shocking and i will definately rethink using filters in my roll up cigarettes,thats a disgusting statistic to hear but i also think it says a lot about how irresponible some people can be at properly disposing,,,i didnt know this but it wouldnt put me off as such ,,,,,its a scary statitic and very upsetting to think,,,I actually didnt know this and its quite horrifying,,,this is the usual message and it really is a drastic message but i think due to the addiction and because it isnt something i can see i tend to avoid thinking about it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Wow!! I though plastic bags would be the culprit here,,I figured that would be the case,,,Awesome idea but doesn't make me want to quit,,,,,Not really specific enough,Wow. I did not know that,We owe it to the environment to quit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,That's terrible ,,,,,Doesn't motivate me to quit at all I dont like the sou9of it t wouldnt want the smell in my pocket. ,,,Councils waste enough money although austerity has hit them hard,I always use an ashtray I can't bear littering I think it's inexcusable ,,I didn't realise the effects to the environment were as stark as that ,I care about the environment and this is sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,No comment. ,"This and most likely the other messages in this study are my motivation for quitting, I have had thousands of cigarettes in my lifetime and I'm 24, not had one for 3 days and its going great. ",,,,"Not a motivator to quit, and not something I would do if still smoked, plenty bins around. ",O_O ouch. ,,,,,Definitely a motivator. ,None of those are mine!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,The health and well being of animals is very important to me so this is motivating ,,I did not know this however it doesnt even make me think about not smoking. ,,,This is obviously unfair for people who dont smoke,,This motivates me as I value looking after the environment ,The health of the environment overall and the health and well being of animals is very important to me so this is motivating. ,Ocean pollution and the overall health of the ocean is something thats important to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,none,,,furher info/evidence to be shared,none,this is not a well known fact.this should be advertised,,,none,,,,"further info on how they end up there, would be beneficial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,"This is motivating, no one wants to be responsible for that happening ",,,,I would just put it in the bin ,,,,I am already aware of this but seeing it reminds me that I've  got to stop ,This would stop me from throwing cigarettes on the floor ,This has more impact on the rest of society. I do this sometimes so this would make me think about it ,,,,This is motivating as this is why most  want to stop ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Similar to the last message.  Even though I do not discard butts discriminately it is a good message to get out there considering the dangers our marine life face.,,,,,,,"My council charges up to Â£100 for dropping anything in the street, so this is not so much of a motivation.",,Very motivating to see the amount of chemicals ad how these can affect the greater environment.,"I am a wildlife lover, so this message is particularly pertinent.","It is an important message given the state of our oceans but personally I never do this, I always place butts back in the packet after stubbing them out.",,,,12 weeks!  I did not know this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,This makes me feel bad and embarrassed ,,I didnâ€™t know this. Does make me stop and think ,I didnâ€™t know this information ,,,,Again makes me embarrassed ,,This would not make me give up although would make me stop and think for abit about what I am doing.,This would not make me give up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,again doesn't effect me wanting to smoke but motivates me thinking about how to dispose of cigarettes,cigarette smokers need to dispose of butts carefully,it doesn't make me want to stop smoking but does make me realise that throwing cigarettes down drains is damaging,I think after reading this it make me wonder why cigarette manufacturers are not being held responsible,,,makes me think about how I discard my cigarettes,,,,makes me want to dispose of cigarette butts carefully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,I think itâ€™s very true like beside other things like plastic,"True,Iâ€™ve seen loads of butts on the beach",Sad to hear this is why we should use a bin,,,"Yes,brilliant message,I smoke but hate to see ciggarette butts on the streets",,Iâ€™m pretty sure that the council pays their employee to clean the streets and I find plastic to be much more of a problem,,,Never hear of it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,so people who drop them should be fined,1,i also believe this to be true,people do dispose of cigarettes wrongly,,yes i believe that to be true,,,,,totally agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,"This is repulsive, I remember during the summer last year seeing a huge amount of rubbish, including cigarette ends, left on my local beach and it was a horrible sight. Especially with young children playing just a few feet away. This has also made me think a lot more.","I was unaware of the impact this has on wildlife and environmental factors. Putting a cigarette down the drain often made me feel like I was in fact being more responsible in disposing of it, however I understand now how this may not be the case.",,,,,"This is less surprising, but certainly something I had not be consciously aware of. I always try to dispose of cigarettes in bins however when the opportunity presents itself. Annoyingly however the frequency of public waste bins can make this difficult sometimes.",,I am shocked to hear that so many chemicals are present in such a small item. This is motivation to more carefully consider my actions when disposing of cigarette ends.,This is disturbing and upsetting news to me. As mentioned before I was ignorant to this thought and this has made me consider my actions.,,,,,As a first time father I am conscious about my health and well-being; reading this only strengthens my goal of quitting smoking for good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,all wild life is important.,i personally throw my cigarettes in the bin and never on the floor so it feels good knowing that i am not a part of it,i kind of would like to quit smoking because i like all sort of wild life and if anyone kills an animal i always think of it as murder i personally don't flick cigarette down the drain so it does not affect me to much.,plastic is bad and in the environment this is even worse as animals might teat it but knowing that it degrades is good,,,,we pay tax for things like the nhs and not for councils to pick up our waste.,,like i said in the previous question all wild life is important so we should not ruin it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,This again is very worrying ,,This is worrying ,I did not know this ,,,,I agree with this and I dispose of cigarette butts in the correct way ,It definitely motivates me to clean up more,No comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Itâ€™s bad as a stat but doesnt really surprise me or make me want to change my behaviour ,It makes you think about the deeper consequences of a small action,,,Presumptuous and sanctimonious - people donâ€™t like being told what to do,,So do other firms of litter like chewing gum or fly tipping - people expect councils to clean their cities ,,This ones a bit tired - more effective ways of saying this ,,,,,,"I like this, itâ€™s positive in its message unlike many other smoking messages ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,i know they take a long time to degrade but again this does not motivate me into quitting,,,,,,i expect there to be a fine for littering but its not motivational for me to consider quitting,im not sure this statement is a fact and does not motivate me into quitting,this statement does not motivate me in any way,,this motivates me a little but not enough to give me a push into wanting to quit,,,,,,this motivates me somewhat as its to do with my health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"This doesn't make me want to quit or even consider it remotely. The only thing this makes me think is ""oh I didn't know they were plastic""",,"I don't go anywhere near a beach, ever so I don't see this and it does not effect me (that I can see, or instantly)","This does make me want to quit a tiny amount because I do car about animals, but yet again - ""out of sight; out of mind""",,"I am confused why this one would motivate me to quit, when it's promoting it kind of.. it's suggesting to carry an ashtray with me. Unless I am missing something from this and really it's trying to hint at something else?",,,"The fact I am having to pay extra to clean it up - even though I actually use the ashtrays on bins provided, a lot do not. So it is frustrating. SO this does want me to stop a little but not an overwhelming amount.",,"Again, this is nothing that I can see so it's ""out of sight, out of mind"" basically.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,Donâ€™t want to quit ,I donâ€™t want to quit ,,I donâ€™t really smoke when Iâ€™m out ,Same as before,Donâ€™t want to quit ,Donâ€™t want to quit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,I care about fish,,,Environment is important ,It dosent make me want. To quit,I don't live in Bristol ,Human health is important ,,Rubbish is rubbish ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"It's selfish but this wouldn't be the biggest motivator to quit smoking, many other disposable products also contaminate water and damage the environment",It's a bit of a vague percentage and as mentioned previously I always dispose of cigarette ends properly,,,,It doesn't motivate me at all to want to quit because I always use a bin,"It's a bit noncommittal, 'could' and 'may' are a bit vague. ",,"It's disgusting but still doesn't motivate me to want to quit, I always dispose of cigarette butts by extinguishing and putting in a bin",,,,,,,"That's quite powerful, especially as I currently have a cold which is on my chest and I know smoking exasperates the situation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"I am already aware that it has a negative environmental impact but generally do not think about that when I crave a cigarette when I am trying to quit, or when I have given up smoking previously.",,,Another strong motivator as media about plastic waste impacting sea life is prevalent nowadays,Again I know that they are not good for me or the environment but is not at the forefront of my mind when considering whether to continue to smoke.,"I am not sure if this question is if I know I can get a free personal ashtray, or if the question is whether it motivates me to quit. It does not motivate me to quit but would make it easier when I cannot find an ashtray outdoors, and I would feel less guilty about littering.",,Now that I think about it affecting drinking water it is a stronger motivator than telling me what it costs the council to clean up off the streets.,Whilst I feel guilty if I do drop a cigarette (rarely) I also see lots of other litter that needs cleaning up. It is not a motivator to quit on its own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"As with before. things like this don't really incentivise me. While I certainly do what I can to minimise my use of plastics, it's up to the corporations to use alternative products (such as hemp etc) rather than try to make me feel guilty for using the very products they make.",,,"I don't flick my cigarettes down drains, and wouldn't do so. The message is certainly a helpful one for anyone who is unaware but wouldn't, imo, lead to anyone quitting smoking itself.","It is unclear to me why such messages would want anyone to quit smoking. At best, it would make me desire and look for a decent method with which to dispose of cigarette filters. ",,,Corporations pump all manner of toxins and 'threats to human health' into water and contaminate the food chain and yet it is the individual trying to get some personal enjoyment from a product he likes being made to feel guilty that his enjoyment might pose the most minimal negative impact imaginable to other human beings.,"I pay my taxes. If I had the ability to use my taxes in certain areas, I'd happily provide some for waste clean up rather than on the military or something like that. This does nothing for me, sorry. ",,,,,,,,"I dare say all smokers are aware of the health risks smoking poses. These messages don't really hold much sway with me, for I have always been aware of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,this is a great way to show people how smoking effects your health,,,,,,,,,shows people just how expensive smoking is ,,,great initiative to stop,great message to show people that the damage can be somewhat reversed,,,,,,,,,,,,,I agree that is a very positive way to look at the situation,,,,,,,,,yes I agree with this,,,,
102,,,,,,,,,,,,,,,,,,,,,,I have actually quit smoking before I used an ecig I worked in a vape shop as a manager I helped 1000's of people stop smoking. my stress levels have always been the same regardless of smoking or not,I aren't worried about gaining weight as I am active in my job role and would snack on fruit and veg,,,,,,,,,,,,,,,,,,I feel this is correct keeping the mind active is the key,,,,help is certainly needed when quitting smoking but 95% is willpower and the want to do it. no scare tactics will working on the current smokers in the country. the packets are seen by many as a deterrent but in actual fact smokers look at the packets and have discussions about them. current smokers don't care about the scare tactics. ,,,I feel as though the association of smoking and a routine is correct I have a coffee and a cigarette on a morning and I also have a cigarette after meal time I feel that a replacement would combat the urge to have one.,,,,,,I feel that no plan is needed for stopping smoking at all plans change issues arise life is difficult for everyone as it is let alone beating yourself up over having a lapse. writing a plan out will always fail certain situations will affect the plans made. I always used to tell my customers to start there journey quitting smoking by having a cigarette in a morning one at lunch and after there evening meals. the temptation is too strong for certain people. slowly cut out the lunchtime one and continue cutting down.,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,My appearance is important to me.,,,,The guilt that it affects loved ones is the single biggest motivator to quit.,,,,,,,,I would like to be better at physical activity.,,,,,,,,,,,,It would be too daunting.,Its helpful if I do quite yet it is not motivation alone to quit.,If they are a similar alternative then I would switch but there is no guarantee in this statement.,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,i dont feel the pains of these so as with the first statement its detached ,,,,,,,,"can add, still get hit by a bus, its too easy to disregard and far too many factors to take as a statment",,because its just facts and basic information it feels detached from me caring,same as before history of heart issues in family connects me to this statment ,family has a history of heart failure so hit a cord ,,,,,,,,,,,,provideds a way to ease the cravings but in some circles vaping is looked down upon ,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,10years seem a long time.,None,None,,,,,,,,,,,,,None,,,,,,,,,None,,,,,,,,,,,,No e,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quitting smoking improves fertility rates research has shown, which is a good thing.",,,,,A fantastic incentive to give up smoking.,,,,,,This is good for people who are physically able to.,There is also research inn to the health issues associated with e-cigarettes too.,,,,A lot of people need that little bit of support rather than going cold turkey.,,,,,,,,Great advice for those wanting to quit.,,,
108,,,,,,,,,,,,,,,,,,Great statistics,,,,,I've always put on weight when trying to give up in the past,,,,,,Daughter is asthmatic so do not smoke around her or in my home,,,,,,,,I do struggle when going up more than one flight of stairs now and cannot run like i used to,,,,,,I am still concerned about the effects of these as I know someone who developed popcorn lung because of smoking them,,,,,,,,I would do research online before I went to a vape shop as colleagues have been ill advised by the man in our local one,,,,,,
109,,,,,,,,,,,,,,,,,I donâ€™t find this message very impactful ,,,,,,,,,,,,,,,I donâ€™t have children so this message is less impactful,This has less impact as the outcome seems further away,There are grammatical errors in this message,,,,,The health implications do make me consider giving up smoking ,,,,,,,,,,,,,,,,,,I have already cut down smoking by using e cigarettes
110,,,,,,,,,,,,,,,,,,,,,,,,,Not sure if this would motivate me at all,Saving money is probably the biggest issue,,,,,Health benefits are probably the most relevant,,,,,,,,,,,,,,,,Avoiding people who smoke is a good tip,,Doesn't seem helpful to me. It tells me that its hard to stop,,,,,,,This is something I already know but doesn't motivate me.,
111,,,,,,,,,,,,,,,,,,,,Yeah that would great again,,,,Yeah but other people in the family smoke so not really good for me,,,,,,,,,,,,,,,,,,,,The it would definitely would help,Not really anything could help to stop smoking not just tablets,,,ye H i liken the idea of that I would give a go,,Yeah it could help me just depends if it was for me,,,,,,,
112,,,,,,,,,,,,,,,,,,,,GOOD INCENTIVE IN REAL TIME,,,,,,,,,NOT RELEVANT,,,,,,,,GOOD INCENTIVE AND REAL TIME,,,,,,,,NOT INVOLVING,,,,,NOT INVOLVING,GOOD INCENTIVE BUT STILL NOT AS NICE AS CIGARETTES,,,,,,
113,,,,,,,,,,,,,,,,,,,Interesting message showing it's never too late to quit to make a difference.,,Very interesting how quickly effects of no smoking take place.,,,,,,,,,,,,Relevant in some cases but not all.,,,Message is a possibility but not relevant to everybody.,,,,Suggests to benefits of quitting smoking are immediate which is a good motivator. ,,,,,,,,,,,,,,Offers helpful information to encourage success.,,,
114,,,,,,,,,,,,,,,,,,Same as before it motivates me but still hard to quit,,,,Find it hard to believe,,,,,It motivates me but I  still find it hard to quit,Good to know information,,,Good information to know but still find it hard to quit,,,,,,,,,,,,,,,Good to know,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,such a short amount of time. Weeks makes it feel shorter,,,,,,Not a big worry personally but I good message generally,,,,,,,"good information for some, again a very possitive message",,,,,,hundreds of thousands reitterates that it is a lot. A very possitive and motivating message,,,,,,Despite this I would still have worries about using them,,,,,,,,,,,,,,,disagree with the use of e-cigarettes
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It motivates me as it states the advantages of smoking and how the heart is extremely important.  It could be a little better if it gave examples of what to do instead of smoking/ alternatives.,,This is really helpful as it gives other options to help to reduce cravings and stress.  It tells you how to reduce this and going for a walk is a simple thing that can help which is done everyday.,,,"This is good as it gives a message to people that stopping to smoke is possible but it's not motivating to do so, for example, giving consequences of smoke, for them to see how bad it actually is. It also just targets a certain area of smokers, the ones who've ""taken a step back and start smoking again"".",,,It tells you how to do so and therefore motivates me as I don't have to stress about that part.,,It doesn't really help me or motivate me into quitting smoking. It just tells me how hard it's going to be at first.,,,"It's good as there's more of a chance of me to quit smoking by using e-cigarettes. I'd probably try e-cigarettes out.  However, this message does not exactly helpful if I wanted to quit smoking as it's promoting smoking still but using a different type of smoking (e-cigarettes). Yes it's more likely successful but I'd just end up smoking using a normal e-cigarette.",,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,I 100% agree with the last sentence but I assume that the damage is not reversible.,"I find the money for a packet of cigarettes but I wouldn't ""find"" that money if I didn't feel a need for it.",,,,,,,,,It would be good to lower the risk of a stroke,,,It would be good to have healthy lungs again,,A heart attack is a scary thought!,,,,,,,,,,,,,,,,I have given up previously and found it better to stop completely otherwise you have to give up smoking and then give up NRT. ,
118,,,,,,,,,,,,,,,,,,,,,taste and smell improved,less stress,,,,,,,,,,less illness for children,,,,,,,,,,,,never give up you can allways try again,,,,,,,,,haveing lots of suport,a action plan of what you need is good,,,
119,,,,,,,,,,,,,,,,,,I'm fully aware of this,,,,,,,I look okay for 66,,So awkward to quit after 50 years,,,,,,,I'm 66 so too late now,,,,,I have been told that before,,,,Still too expensive,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,I guess it depends on how old you are and how much damage you have done,,,,,Of course - smoke around the house is not good for others,,,,,,,,,,I would like to believe that were true,,,,,,,,,Have not yet tasted one that is enough like a cigarette. Also concerned that not enough time has lapsed between research and the harm they may cause,,,,,The hardest to give up is after a meal. Also social smoking with friends who smoke,,,,,,,All of the above are good reasons for giving up smoking.  Also as we get older it becomes harder but more important to quit,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very good to no this i have tried maybe being told more positve things wud encourge to help stop,,,It does make me want to quit seeing this message ,,,,,,,I would feel so much better in myself also ,,Also makes me want to quit ,Exersie is also good so wud get me to start exercising ,,,,,,,,,,They are less harmfull but more expensive in my opion,,,,,,
122,,,,,,,,,,,,,,,,,,,"this is something that i know can happen, having seen this in other people",,,,,"smoking has proven to be harmful to others around you, so it follows that quitting is also good to those around you",,,,,,,,,i believe this to be true,,,,,,,,,,,,,,,,"Having not tried to quit smoking for long enough, I could not say that this is true or false, although an ex smoker once told me that the cravings never left him, he could just control them better over time",,,i just think that e cigs can just be as harmful and no real studies have been done yet,,,,,"sorry, but i just dont think this statement is credible"
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I always smoke outside with doors and windows closed but for others this may help,,,,,,Very new information and reassuring that body heals,"I'm not sure sorry, I don't really want to be really really old and basically dying",,,,,,Best way of quitting but I think it's more of a replacement,,,"I stopped smoking twice when pregnant through willpower and not wanting to harm my babies so I know I can do it without treatment and although these are great, I'm not sure I trust them to be safe",,,,,It may help but I don't think I'd like it sorry,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, I already have two children and Iâ€™m not looking to you have anymore ,, I donâ€™t ever smoke inside my house or around my children ,,,,,,,,"As Iâ€™m ageing, the thought of this is bothering me more ", One of the things stopping me from quitting is my ability to be strong through the cravings ,,,,, This inspires me as I know I would not be able to go cold turkey ,,,,," I still donâ€™t think enough to have been run on vapouring devices, I still donâ€™t think we understand danger is caused by these devices as yet ",,,,,,
125,,,,,,,,,,,,,,,,,These figures are quite startling.,,,,This sounds as if it would be achievable with a little effort.,,,,,This is a lot of money. It adds up quickly.,,,,,,I don't have children so these figures have no effect on me. ,,,,,,,,,,,,,,There is quite a range of different products now which can only improve the chances of quitting.,,,,,,,Support would be useful as long as you didn't feel 'watched' all the time.,,,,
126,,,,,,,,,,,,,,,,,,,,"Me and my other half have been talking about quitting for a while now, the health benefits of quitting are helping us cut down and hopefully to eventually quit completely",,,,,,,,,,Me and my other half were previously trying for a baby but I have PCOS which as a result gives me a low chance of conceiving naturally. I'd imagine quitting smoking might slightly improve my chances and will attempt to before we try again,,,,,,,"As I previously stated I've been thinking of quitting, and would love to see my health improve",,,,,,,,,,,Smoking can be just a habit rather than a full on addiction to some people so this could be really helpful to many people,,,,,,,I have massively decreased the amount of cigarettes I smoke because of all the reasons above. Every smoker should at least attempt quitting for if not one or more of these reasons,"If people genuinely wanted to quit then they have no excuse to give this a go, with it being cheaper or even free",
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I believe that this is quite accurate ,,Not sure about these figures ,Again I'm not sure about these figures ,,,,,,,,,,It's a very true statement.  Having tried myself to quit smoking on many occasions ,I have had a certain amount of success with patches,,,,,,,,,,,I believe this is true,
128,,,,,,,,,,,,,,,,,,,"Actually, that scares me as an older smoker - the fact that only after 10 years my risk of lung cancer falls to half that of a smoker.",6 weeks sounds like a reasonable amount of time to feel an obvious result.  This message is positive.,,,Weight gain would concern me but it isn't a main reason for my not giving up.,,,,,,,,,,,,,I think this message would have had more effect on me some 10 years ago (I'm 45 now).,,"Though I already know this fact, it is a more motivating message. ",,,,,,,,,"Choose a day that's unlikely to be stressful? Not easy, not predictable. Might as well say, ""Take to your bed for a day"". In fact, that may be more motivating for me!",,,,,,,,,,
129,,,,,,,,,,,,,,,,,,"On face value, it doesn't seem possible. If smoking is so bad for me in the long term, why is my risk of heart disease going to drop so quickly? Does this mean I can smoke through my youth and then quit as I start reaching middle-age?",,,,"Personally, when I read studies show I get a wave of doubt. After all, this is the same argument used by people who are against vaccinations. I would prefer concrete proof as the stress relief is a reason for my smoking, and there is a stressful period involved in quitting smoking that is completely avoided in the message.",,,,,,,,,,,,,,,,,,,,,"I am constantly hearing mixed messages about e-cigarettes, and I find e-cigs are only useful at home. For me personally, the smell of a real cigarette is what can cause cravings to start when I'm quitting, and I'd still have to smoke with other smokers due to the policies in many establishments regarding e-cigs ",,,,"useful advice, but easily abused advice. As someone has has repeatedly tried to quit smoking, any excuse is a good excuse. ""Oh no, I'm within a mile of a shop that sells cigarettes. Today just isn't suitable.""as a hyperbolic example",,,,,,"Personally this means nothing to me, there's only so much people can do and it's a very personal challenge to undertake. This message is more useless to introverted people.",,"If that message is aimed at people actively looking to quit smoking, it is effective. However for those not, the message is quite nonplussed. It more subtly suggests negative impacts of smoking, but I believe the message is far too subtle for someone who has no plans to quit smoking",,
130,,,,,,,,,,,,,,,,,,,good message aiming at preventing lung cancer,would have more energy,,,,Most people smoke on their own,,,,would help prevent heart attack,,,,,,,,,,,,,,,,,would be free on the NHS and you would have support,,,not easy,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,"I only smoke about a pack a week sometimes less, so this saving message does not overly motivate me to give up. ",,,"I only smoke in the pub garden, so this does not apt to me. ",,,,,,,,Health messages like this are much more motivational for me. Especially these more positive 'it's not too late' messages. I suffer from mild asthma too so this adds to the motivation. ,,,,,Tempted to go back and try e cigarettes but I used them alot more than actual smoking! ,,,,,,"I only smoke when I have a drink at the pub, so this would not motivate me as I'm not giving up that! ðŸ˜‚",,It's more the social aspect that I enjoy abd I really don't like chewing gum! Disgusting habit! ,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,If I was planning on stopping this would make me feel positive and reiterate that I made the correct decision.,,,,I like to think I am not vain but this is a definite incentive to stop.,,Saving money is definitely an incentive for me but I smoke roll ups which are much cheaper and cost me approximately Â£50 per month. It's a good message but not appropriate to me.,Again I don't have issues and so whilst a positive message this doesn't affect me so I don't feel that it would help me to quit smoking.,,,,,,,,,,,This is not something you consider in your 30s and 40s if you don't experience cardiac problems which I don't. Although I never know when that may change. At which point my view will change.,,,,,,,,,,,,,,,Again the message is not for me as I don't plan to give up but I like having a plan if I did. It's gives me goals and writing it down makes it clearer and also a good reminder.,,,
133,,,,,,,,,,,,,,,,,Slightly more motivating but what gets me are the number of people who contract lung cancers who have never smoked.,,,,,,,,Don't believe this one at all.,,,,,,I have no doubts that it's true but offset my smoking habit with daily cardio vascular exercise and stick my head in the sand so to speak.,,Don't believe that it can be quantified in this manner to be honest.,,,,I have no problems at this time exercising.,,,,,,,,,,,,,,,,,,,,Yes the best route to take to quit without a doubt.
134,,,,,,,,,,,,,,,,,,,,,,,,,,An extra Â£264 a month is extremely motivational,,,,This is very motivational as I would like to have kids. If quitting smoking increases my chances then I would do it,,,,,,,,"This statement motivates me to quit smoking, and regaining full lung capacity",,,,,"E-cigarettes seem like a good alternative, healthier, cheaper, better tasting and no smell",,,,,,Hearing this would positively impact me to quit smoking,Knowing that I have other options than just cold turkey is very motivational. I know I wouldn't be left to deal with it on my own.,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,I don't believe this statement.,,,,,,,,,,I don't have children so this is no motivation for me and i only smoke at home so i am not affecting anybody else.,,,,I don't fully believe that is true and also we could die at any time so this doesn't really motivate me to stop.,,,This motivates me slightly but it's hard to appreciate at this moment the affect smoking has on my heart.,,,,,,,,It would take a lot of will power even so even if the day is not a stressful one etc,,,,,,,,,This motivates me slightly but it will still be hard to stop smoking.,
